Dataset,Category,Total_Count,Average_Per_Year
IBTRACS,Tropical Depression + Tropical Storm,743,11.430769230769231
IBTRACS,Category 1-2,498,7.661538461538462
IBTRACS,Category 3-5,618,9.507692307692308
