osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
915262582,mast,,,,,POINT (120.90948510000001 14.1199548)
2645909760,tower,communication,,gsm;umts;lte,Smart Cellsite,POINT (120.93206760000001 14.135596300000001)
924127400,tower,communication,,gsm;umts;lte,,POINT (120.9249403 14.168390500000001)
915274577,mast,,,,,POINT (120.8967157 14.169662500000001)
8461396426,tower,communication,,gsm;umts;lte,,POINT (120.92013000000001 14.174341400000001)
924127398,tower,communication,,gsm;umts;lte,Smart Cellsite,POINT (120.92987000000001 14.179971900000002)
915274563,mast,,,,,POINT (120.90831360000001 14.201122400000001)
917839668,mast,,,,,POINT (120.94462220000001 14.2319919)
917839659,mast,,,,,POINT (120.8958704 14.2630636)
917839643,mast,,,,,POINT (120.91435620000001 14.2687617)
917839692,tower,communication,,,,POINT (120.95338770000001 14.208472100000002)
917839667,tower,communication,,,,POINT (120.95323750000001 14.2096785)
917839690,tower,communication,,,,POINT (120.9542626 14.2098174)
6896668691,tower,communication,,yes,,POINT (120.9681092 14.217723500000002)
9790574538,street_cabinet,,,,,POINT (120.967644 14.269453200000001)
5875568922,utility_pole,,distribution_point,,,POINT (120.9667146 14.272735200000001)
5470126404,utility_pole,,distribution_point,,,POINT (120.9663876 14.2727479)
5875587869,utility_pole,,distribution_point,,,POINT (120.96707020000001 14.272828200000001)
5875525928,utility_pole,,distribution_point,,,POINT (120.9675253 14.2729379)
5470126405,utility_pole,,distribution_point,,,POINT (120.96630730000001 14.2730019)
924683162,tower,communication,,,,POINT (120.97350320000001 14.2266373)
9027721824,tower,communication,,,,POINT (120.97131890000001 14.228433500000001)
6534544694,tower,communication,,,,POINT (120.9761131 14.2469605)
9892919612,tower,communication,,,,POINT (120.97054750000001 14.260681400000001)
10077741855,tower,communication,,,,POINT (120.9684996 14.267327000000002)
9027691310,tower,communication,,,,POINT (120.968754 14.2673862)
9027691309,tower,communication,,,,POINT (120.96861620000001 14.2675955)
5406721043,utility_pole,,distribution_point,,,POINT (120.9684598 14.273161900000002)
5875568921,utility_pole,,distribution_point,,,POINT (120.9688474 14.2732697)
5875568920,utility_pole,,distribution_point,,,POINT (120.96928790000001 14.273377300000002)
