osm_id,man_made,pump,pipeline,emergency,name,geometry
1076326957,water_tower,,,,,POINT (121.01052290000001 14.358127900000001)
5208101521,,,,fire_hydrant,,POINT (120.97979240000001 14.3451888)
1033118593,water_tower,,,water_tank,,"LINESTRING (120.9814011 14.3452713, 120.9814103 14.3452609, 120.9814243 14.3452588, 120.9814363 14.345266, 120.9814406 14.3452791, 120.9814365 14.3452902, 120.9814266 14.345297, 120.9814145 14.3452973, 120.9814051 14.3452916, 120.9814001 14.345282, 120.9814011 14.3452713)"
5154826955,,,,fire_hydrant,,POINT (120.9769375 14.345305900000001)
1705506442,water_tower,,,,,POINT (120.97739480000001 14.3456083)
5154817098,,,,fire_hydrant,,POINT (120.97636240000001 14.346301100000002)
1705506463,water_tower,,,,,POINT (120.9819958 14.346402800000002)
5156650723,,,,fire_hydrant,,POINT (120.9815789 14.3477432)
5156650722,,,,fire_hydrant,,POINT (120.9822728 14.3479156)
425460182,water_tower,,,water_tank,,"LINESTRING (120.9754031 14.3488275, 120.9753918 14.3488315, 120.9753868 14.3488421, 120.9753909 14.3488531, 120.9754019 14.3488579, 120.9754132 14.3488539, 120.9754182 14.3488433, 120.975414 14.3488324, 120.9754031 14.3488275)"
1705506469,water_tower,,,,,POINT (120.9814048 14.3491084)
5208154423,,,,fire_hydrant,,POINT (120.97836090000001 14.349548200000001)
5154741625,,,,fire_hydrant,,POINT (120.9724611 14.350060200000001)
5156606022,,,,fire_hydrant,,POINT (120.9821179 14.3506605)
5444702121,,,,fire_hydrant,,POINT (120.98245250000001 14.355186100000001)
5444663532,,,,fire_hydrant,,POINT (120.98209910000001 14.355848900000002)
5444702221,,,,fire_hydrant,,POINT (120.9827388 14.3558634)
412736755,water_tower,,,water_tank,,"LINESTRING (120.9864495 14.3579187, 120.9864601 14.3579114, 120.9864729 14.3579088, 120.9864857 14.3579114, 120.9864964 14.3579187, 120.9865027 14.3579283, 120.986505 14.3579393, 120.9865031 14.3579505, 120.9864972 14.3579602, 120.9864881 14.3579673, 120.986477 14.3579707, 120.986464 14.3579697, 120.9864525 14.3579638, 120.9864444 14.357954, 120.986441 14.3579419, 120.9864427 14.3579295, 120.9864495 14.3579187)"
5156565122,,,,fire_hydrant,,POINT (120.98284340000001 14.358167600000002)
1001802717,water_tower,,,water_tank,,"LINESTRING (120.9768635 14.3592471, 120.9768712 14.3592602, 120.9768726 14.3592752, 120.9768675 14.3592894, 120.9768568 14.3593004, 120.9768389 14.3593064, 120.9768203 14.3593031, 120.9768058 14.3592913, 120.9767992 14.359271, 120.9768057 14.3592507, 120.9768229 14.3592376, 120.9768447 14.3592362, 120.9768635 14.3592471)"
1001802742,water_tower,,,water_tank,,"LINESTRING (120.9791118 14.3611591, 120.9791195 14.3611722, 120.9791209 14.3611872, 120.9791158 14.3612014, 120.9791051 14.3612123, 120.9790872 14.3612184, 120.9790686 14.3612151, 120.9790541 14.3612032, 120.9790475 14.361183, 120.9790539 14.3611627, 120.9790711 14.3611496, 120.979093 14.3611482, 120.9791118 14.3611591)"
927632374,water_tower,,,water_tank,,"LINESTRING (120.9863987 14.3619513, 120.9864093 14.361944, 120.9864221 14.3619414, 120.9864349 14.361944, 120.9864456 14.3619513, 120.9864519 14.3619609, 120.9864542 14.3619719, 120.9864523 14.3619831, 120.9864464 14.3619928, 120.9864373 14.3619999, 120.9864262 14.3620033, 120.9864132 14.3620023, 120.9864017 14.3619964, 120.9863936 14.3619866, 120.9863902 14.3619745, 120.9863919 14.3619621, 120.9863987 14.3619513)"
10880470104,,,,fire_hydrant,,POINT (120.9839369 14.363856100000001)
10758253465,,,,fire_hydrant,,POINT (120.9832489 14.3638817)
10898604740,,,,fire_hydrant,,POINT (120.98238620000001 14.3638931)
10578202619,,,,fire_hydrant,,POINT (120.9829765 14.3642856)
1001802741,water_tower,,,water_tank,,"LINESTRING (120.9743664 14.3643724, 120.9743741 14.3643855, 120.9743755 14.3644005, 120.9743704 14.3644147, 120.9743597 14.3644257, 120.9743418 14.3644318, 120.9743232 14.3644284, 120.9743087 14.3644166, 120.9743021 14.3643963, 120.9743085 14.3643761, 120.9743257 14.3643629, 120.9743476 14.3643615, 120.9743664 14.3643724)"
10577912898,,,,fire_hydrant,,POINT (120.98404660000001 14.364454400000001)
10758253468,,,,fire_hydrant,,POINT (120.98233400000001 14.3666063)
1001714092,water_tower,,,water_tank,,"LINESTRING (120.981916 14.3708885, 120.9819237 14.3708994, 120.9819234 14.3709126, 120.9819151 14.3709231, 120.981902 14.3709269, 120.9818891 14.3709225, 120.9818814 14.3709116, 120.9818817 14.3708984, 120.98189 14.3708879, 120.9819031 14.3708841, 120.981916 14.3708885)"
10910175933,storage_tank,,,,,POINT (120.9763848 14.3806717)
5512693866,water_tower,,,,,POINT (121.00933090000001 14.3664246)
7686130585,,,,fire_hydrant,,POINT (120.9879832 14.371282)
11028932019,water_tower,,,,,POINT (120.987892 14.371475700000001)
5117172760,water_tower,,,,,POINT (120.99202860000001 14.371557000000001)
12420679321,water_tower,,,,,POINT (120.99198150000001 14.371578600000001)
2207569624,water_tower,,,,,POINT (120.9880167 14.372748900000001)
8385770639,storage_tank,,,,,POINT (120.9899386 14.3740982)
665214740,water_tower,,,water_tank,,"LINESTRING (121.0069932 14.3749617, 121.0070089 14.3749633, 121.0070214 14.3749725, 121.0070272 14.3749866, 121.0070246 14.3750016, 121.0070143 14.3750131, 121.0069994 14.3750178, 121.0069854 14.375015, 121.0069744 14.3750061, 121.0069692 14.3749932, 121.0069711 14.374979, 121.0069798 14.3749676, 121.0069932 14.3749617)"
661083912,water_tower,,,water_tank,,"LINESTRING (120.9902564 14.3788184, 120.9902555 14.378832, 120.9902476 14.3788435, 120.9902349 14.3788495, 120.9902208 14.3788486, 120.990209 14.378841, 120.9902027 14.3788287, 120.9902036 14.3788151, 120.9902115 14.3788036, 120.9902242 14.3787976, 120.9902383 14.3787984, 120.9902501 14.3788061, 120.9902564 14.3788184)"
4270903067,water_tower,,,,,POINT (120.99402090000001 14.3792211)
1576605880,water_tower,,,,,POINT (121.00400300000001 14.379894700000001)
7053883910,storage_tank,,,,,POINT (120.9927016 14.382849400000001)
5711837073,water_tower,,,,,POINT (120.99439500000001 14.3857528)
1706575261,water_tower,,,,,POINT (120.9914542 14.3862599)
5711227514,water_tower,,,,,POINT (121.01165030000001 14.3870587)
6274558859,water_tower,,,,,POINT (120.999109 14.3879066)
10814919665,water_tower,,,,,POINT (120.99578640000001 14.3879102)
1212211161,water_tower,,,,,"LINESTRING (120.9998426 14.3894748, 120.9998839 14.389582, 120.9997863 14.3896172, 120.9997665 14.3895658, 120.9998099 14.3895501, 120.9997884 14.3894943, 120.9998426 14.3894748)"
7120606954,water_tower,,,,,POINT (121.004817 14.389562000000002)
5711837086,water_tower,,,,,POINT (120.99456400000001 14.3912244)
1662273233,water_tower,,,,,POINT (120.85431410000001 14.3498391)
10970269175,water_tower,,,,,POINT (120.8991682 14.350075200000001)
1662273234,water_tower,,,,,POINT (120.8472708 14.3502161)
11168602119,storage_tank,,,,,POINT (120.90729200000001 14.350851400000002)
876267753,pipeline,,,,,"LINESTRING (120.8703031 14.3513204, 120.8709834 14.3511756, 120.8711704 14.3511441, 120.8714328 14.3511013, 120.872084 14.3509837)"
1105992487,water_tower,,,water_tank,,"LINESTRING (120.8737774 14.3519619, 120.8737874 14.3519494, 120.8738026 14.3519435, 120.8738187 14.3519457, 120.8738315 14.3519554, 120.8738376 14.35197, 120.8738354 14.3519857, 120.8738253 14.3519981, 120.8738102 14.352004, 120.8737941 14.3520018, 120.8737813 14.3519921, 120.8737752 14.3519775, 120.8737774 14.3519619)"
1208695568,water_tower,,,water_tank,,"LINESTRING (120.8998354 14.3523502, 120.8998419 14.3523447, 120.8998506 14.3523451, 120.8998563 14.3523514, 120.8998558 14.3523598, 120.8998493 14.3523654, 120.8998406 14.3523649, 120.8998349 14.3523586, 120.8998354 14.3523502)"
5096822072,water_tower,,,,,POINT (120.91812510000001 14.352961)
1662273247,water_tower,,,,,POINT (120.85042940000001 14.3532761)
5096822060,water_tower,,,,,POINT (120.91530870000001 14.354001700000001)
5172597425,,,,fire_hydrant,,POINT (120.9561063 14.3496877)
5172613922,,,,fire_hydrant,,POINT (120.95711270000001 14.3499317)
5574879290,water_tower,,,,,POINT (120.95636 14.3499987)
5172588724,,,,fire_hydrant,,POINT (120.95687280000001 14.3502495)
5340397121,,,,fire_hydrant,,POINT (120.9445012 14.350392800000002)
5172638621,,,,fire_hydrant,,POINT (120.9560998 14.3505827)
5170794921,,,,fire_hydrant,,POINT (120.9433908 14.3508554)
5172588723,,,,fire_hydrant,,POINT (120.94662310000001 14.351268600000001)
5172581323,,,,fire_hydrant,,POINT (120.9458752 14.3533109)
5172579923,,,,fire_hydrant,,POINT (120.94552920000001 14.354179100000001)
5172942921,,,,fire_hydrant,,POINT (120.9378796 14.352940700000001)
5173090524,,,,fire_hydrant,,POINT (120.93608210000001 14.3533255)
5127927631,,,,fire_hydrant,,POINT (120.93341910000001 14.353366500000002)
5173090523,,,,fire_hydrant,,POINT (120.93553320000001 14.3534787)
5173112722,,,,fire_hydrant,,POINT (120.93719870000001 14.3540235)
5173100222,,,,fire_hydrant,,POINT (120.935828 14.354054600000001)
5186624822,,,,fire_hydrant,,POINT (120.9242368 14.354886100000002)
5127927630,,,,fire_hydrant,,POINT (120.93377140000001 14.3550888)
5127927629,,,,fire_hydrant,,POINT (120.9379871 14.3555463)
5127929232,,,,fire_hydrant,,POINT (120.93808050000001 14.357172400000001)
5096790368,water_tower,,,,,POINT (120.91093000000001 14.355575000000002)
8655773969,water_tower,,,water_tank,,POINT (120.88536830000001 14.356670500000002)
423245997,water_tower,,,water_tank,,"LINESTRING (120.8878836 14.3574256, 120.8878747 14.3574217, 120.887865 14.3574208, 120.8878555 14.3574231, 120.8878472 14.3574282, 120.8878412 14.3574356, 120.8878379 14.3574445, 120.8878378 14.357454, 120.8878409 14.3574629, 120.8878468 14.3574705, 120.887855 14.3574757, 120.8878644 14.3574781, 120.8878741 14.3574774, 120.8878831 14.3574737, 120.8878904 14.3574674, 120.8878951 14.3574591, 120.8878968 14.3574498, 120.8878953 14.3574404, 120.8878907 14.3574321, 120.8878836 14.3574256)"
1705471716,water_tower,,,,,POINT (120.91369660000001 14.358019400000002)
8655773968,water_tower,,,,,POINT (120.882703 14.3584071)
406913078,water_tower,,,water_tank,,"LINESTRING (120.9125427 14.3603964, 120.9125419 14.3603645, 120.9125158 14.3603452, 120.9124838 14.360353, 120.9124702 14.360382, 120.9124851 14.3604104, 120.9125174 14.3604168, 120.9125427 14.3603964)"
8655773972,water_tower,,,,,POINT (120.8905684 14.3606207)
8655327076,water_tower,,,,,POINT (120.89477350000001 14.360693600000001)
1203009213,water_tower,,,,,"LINESTRING (120.8415152 14.3625674, 120.841521 14.3625519, 120.841534 14.3625412, 120.8415508 14.3625382, 120.8415668 14.3625438, 120.8415779 14.3625564, 120.8415809 14.3625726, 120.8415752 14.3625882, 120.8415622 14.3625989, 120.8415454 14.3626018, 120.8415293 14.3625963, 120.8415183 14.3625837, 120.8415152 14.3625674)"
932105086,water_tower,,,,,"LINESTRING (120.8927194 14.3634409, 120.892714 14.3634493, 120.8927061 14.3634556, 120.8926966 14.363459, 120.8926864 14.3634594, 120.8926766 14.3634565, 120.8926681 14.3634506, 120.8926621 14.3634423, 120.8926592 14.3634325, 120.8926599 14.3634224, 120.8926639 14.363413, 120.8926709 14.3634054, 120.8926801 14.3634005, 120.8926905 14.3633988, 120.8927008 14.3634005, 120.8927097 14.3634053, 120.8927166 14.3634125, 120.8927208 14.3634215, 120.8927217 14.3634313, 120.8927194 14.3634409)"
1304652711,water_tower,,,water_tank,,"LINESTRING (120.9328992 14.3590199, 120.9328811 14.3590223, 120.9328696 14.3590361, 120.9328709 14.3590538, 120.9328845 14.3590658, 120.9328979 14.3590669, 120.93291 14.3590611, 120.9329171 14.35905, 120.9329173 14.3590372, 120.9329107 14.3590262, 120.9328992 14.3590199)"
5127929233,,,,fire_hydrant,,POINT (120.93801020000001 14.3591274)
6195254596,water_tower,,,,,POINT (120.93018430000001 14.3592051)
5173208421,,,,fire_hydrant,,POINT (120.9400844 14.3601968)
1989096306,water_tower,,,,,POINT (120.93556210000001 14.3609568)
422167791,water_tower,,,,,"LINESTRING (120.924162 14.3619511, 120.9242013 14.3619499, 120.9241995 14.3619213, 120.9241599 14.3619229, 120.924162 14.3619511)"
,water_tower,,,,,"POLYGON ((120.9379232 14.3621188, 120.9379136 14.3621078, 120.9378996 14.3621029, 120.937885 14.3621055, 120.9378737 14.3621148, 120.9378687 14.3621283, 120.9378713 14.3621424, 120.9378809 14.3621534, 120.9378949 14.3621583, 120.9379095 14.3621557, 120.9379208 14.3621464, 120.9379258 14.3621329, 120.9379232 14.3621188))"
,water_tower,,,,,"POLYGON ((120.9358276 14.3626305, 120.9358302 14.3626437, 120.9358404 14.3626528, 120.9358541 14.3626543, 120.9358662 14.3626478, 120.935872 14.3626356, 120.9358693 14.3626225, 120.9358591 14.3626134, 120.9358454 14.3626118, 120.9358333 14.3626183, 120.9358276 14.3626305))"
1456704412,water_tower,,,,,POINT (120.9315804 14.3640705)
1456704419,water_tower,,,,,POINT (120.92899340000001 14.3646968)
5154783428,,,,fire_hydrant,,POINT (120.96518180000001 14.345350600000002)
5172665424,,,,fire_hydrant,,POINT (120.95986490000001 14.3467532)
5172642023,,,,fire_hydrant,,POINT (120.9583025 14.347615200000002)
5172638525,,,,fire_hydrant,,POINT (120.958708 14.3479012)
5172622923,,,,fire_hydrant,,POINT (120.9580653 14.348576300000001)
5172638721,,,,fire_hydrant,,POINT (120.95876890000001 14.3486671)
631902548,water_tower,,,water_tank,,"LINESTRING (120.9601526 14.3502806, 120.9601552 14.3502934, 120.9601502 14.3503056, 120.9601392 14.3503131, 120.960126 14.3503137, 120.9601146 14.3503074, 120.9601083 14.3502962, 120.9601107 14.3502802, 120.9601234 14.3502697, 120.9601401 14.3502698, 120.9601526 14.3502806)"
5207938221,,,,fire_hydrant,,POINT (120.96726430000001 14.3566535)
988860941,water_tower,,,water_tank,,"LINESTRING (120.9607041 14.377692, 120.9607038 14.3777054, 120.9606967 14.3777167, 120.9606846 14.3777232, 120.9606709 14.3777229, 120.9606591 14.3777159, 120.9606525 14.3777043, 120.9606528 14.3776909, 120.96066 14.3776796, 120.960672 14.3776732, 120.9606858 14.3776735, 120.9606975 14.3776804, 120.9607041 14.377692)"
9861839239,,,,fire_hydrant,,POINT (120.9577198 14.381884200000002)
1203009130,water_tower,,,,,"LINESTRING (120.838491 14.3638769, 120.8384968 14.3638614, 120.8385098 14.3638507, 120.8385266 14.3638477, 120.8385426 14.3638533, 120.8385537 14.3638659, 120.8385567 14.3638821, 120.838551 14.3638977, 120.838538 14.3639084, 120.8385212 14.3639113, 120.8385051 14.3639058, 120.8384941 14.3638932, 120.838491 14.3638769)"
9549322974,water_tower,,,,,POINT (120.85499730000001 14.364898100000001)
8655773970,water_tower,,,,,POINT (120.8828945 14.3650617)
978183453,water_tower,,,,,"LINESTRING (120.8356176 14.3661937, 120.8356234 14.3661782, 120.8356364 14.3661675, 120.8356532 14.3661645, 120.8356692 14.3661701, 120.8356803 14.3661827, 120.8356833 14.3661989, 120.8356776 14.3662145, 120.8356646 14.3662252, 120.8356478 14.3662281, 120.8356317 14.3662226, 120.8356207 14.36621, 120.8356176 14.3661937)"
7855827894,water_tower,,,,,POINT (120.91180910000001 14.366242100000001)
9549323777,water_tower,,,,,POINT (120.85309620000001 14.366489600000001)
9549322995,water_tower,,,,,POINT (120.85717050000001 14.3673912)
9549323738,water_tower,,,,,POINT (120.85387410000001 14.368014800000001)
8655773971,water_tower,,,,,POINT (120.88434600000001 14.3686381)
10651182377,water_tower,,,,,POINT (120.81696690000001 14.370233800000001)
3722411996,water_tower,,,,,POINT (120.92561900000001 14.3656439)
1337164648,water_tower,,,,,"LINESTRING (120.9334254 14.3659089, 120.9334214 14.3659232, 120.9334253 14.3659375, 120.9334361 14.365948, 120.9334509 14.3659518, 120.9334657 14.365948, 120.9334765 14.3659376, 120.9334805 14.3659233, 120.9334765 14.3659089, 120.9334657 14.3658985, 120.933451 14.3658946, 120.9334362 14.3658984, 120.9334254 14.3659089)"
8114128922,water_tower,,,,,POINT (120.92870710000001 14.3671825)
3748436274,water_tower,,,,,POINT (120.92866120000001 14.370568)
3693005472,water_tower,,,,,POINT (120.9238169 14.3705843)
3687376373,water_tower,,,,,POINT (120.93517870000001 14.3726991)
1343341081,water_tower,,,,,"LINESTRING (120.9383441 14.3736773, 120.9383476 14.3736862, 120.9383567 14.3736901, 120.9383659 14.3736867, 120.93837 14.3736779, 120.9383664 14.3736689, 120.9383573 14.373665, 120.9383481 14.3736685, 120.9383441 14.3736773)"
18080333,water_works,,,,Aguinaldo Pump Station & Reservoir,"POLYGON ((120.9371 14.3746288, 120.9372664 14.3746684, 120.9374548 14.3747086, 120.938296 14.3748644, 120.9383347 14.3748716, 120.9383003 14.3749795, 120.9384895 14.3749632, 120.9387397 14.3749404, 120.9387906 14.374937, 120.9388019 14.3749361, 120.9387972 14.3748485, 120.9387798 14.3748502, 120.9387532 14.3748523, 120.9387316 14.374854, 120.9386489 14.3748611, 120.9384167 14.3748859, 120.9384024 14.3744092, 120.9383294 14.3743954, 120.9383019 14.3743901, 120.9382768 14.3743853, 120.9381905 14.3743689, 120.9381381 14.374359, 120.9380798 14.3743479, 120.9380266 14.3743377, 120.937972 14.3743274, 120.9379184 14.3743172, 120.9378625 14.3743065, 120.9378042 14.3742954, 120.9377515 14.3742854, 120.9377003 14.3742757, 120.9376455 14.3742653, 120.9375913 14.374255, 120.9375367 14.3742446, 120.9374839 14.3742345, 120.937431 14.3742245, 120.937377 14.3742142, 120.9373208 14.3742035, 120.937264 14.3741927, 120.9372033 14.3741811, 120.9370601 14.3745648, 120.9370413 14.3746149, 120.9371 14.3746288))"
3687302342,water_tower,,,,,POINT (120.92404780000001 14.375006200000001)
11201527117,water_tower,,,,,POINT (120.933132 14.3754147)
5672006050,water_tower,,,,,POINT (120.9007055 14.3711692)
726828848,water_tower,,,water_tank,,"LINESTRING (120.8931859 14.3713341, 120.8931921 14.3713196, 120.8932054 14.3713105, 120.8932216 14.3713098, 120.8932358 14.3713175, 120.8932434 14.3713314, 120.8932422 14.3713471, 120.8932352 14.3713576, 120.8932242 14.3713641, 120.8932114 14.3713653, 120.8931974 14.3713599, 120.8931881 14.3713485, 120.8931859 14.3713341)"
3693005482,water_tower,,,,,POINT (120.9210321 14.371439700000002)
5340683967,water_tower,,,,,POINT (120.88559140000001 14.371702200000001)
