osm_id,railway,name,gauge,electrified,voltage,geometry
50279193,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2610513 14.1586042, 121.2622082 14.1571185, 121.2628831 14.1562806)"
50279194,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2610513 14.1586042, 121.2608709 14.1588419)"
50279196,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2608709 14.1588419, 121.2590303 14.1613064, 121.2578771 14.1628284)"
50279191,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2577679 14.1629713, 121.2578771 14.1628284)"
98868177,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2563496 14.1648858, 121.2568044 14.1643064, 121.2577679 14.1629713)"
98868184,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2562145 14.165058, 121.2563496 14.1648858)"
36818110,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2523459 14.1702034, 121.2527753 14.1696331, 121.2542135 14.1677235, 121.2543087 14.1675976, 121.2543142 14.1675897, 121.2543434 14.1675483, 121.2548941 14.1667668, 121.2553834 14.1661575, 121.2558817 14.1654819, 121.2562145 14.165058)"
7029085834,station,IRRI,,,,POINT (121.2542135 14.167723500000001)
36818177,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2523459 14.1702034, 121.2521828 14.1704199)"
109359329,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2418728 14.1817093, 121.2422718 14.181617, 121.2424898 14.181546, 121.2427033 14.1814649, 121.2429081 14.1813837, 121.2431185 14.1812965, 121.2433296 14.1812036, 121.2435336 14.1810959, 121.2437248 14.1809889, 121.2439148 14.1808745, 121.2441012 14.1807494, 121.2442796 14.1806139, 121.2444524 14.1804716, 121.2446193 14.180323, 121.24478 14.180168, 121.2449344 14.1800071, 121.2450804 14.1798398, 121.2452199 14.1796661, 121.2456945 14.1790359, 121.2467897 14.1775816, 121.2468339 14.1775229, 121.2468817 14.1774605, 121.2482359 14.1756609, 121.2491773 14.174411, 121.2512754 14.1716248, 121.2521828 14.1704199)"
1395316326,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2161842 14.1761862, 121.2162372 14.1762009)"
1395316327,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2087494 14.178613, 121.2124126 14.1764898, 121.2125691 14.1764044, 121.212729 14.1763251, 121.212892 14.176252, 121.2130579 14.1761853, 121.2132257 14.1761253, 121.2133958 14.1760717, 121.213568 14.1760247, 121.2137419 14.1759844, 121.2138933 14.175956, 121.2140278 14.1759379, 121.2141532 14.1759273, 121.2144759 14.1759015, 121.2146234 14.1758951, 121.214771 14.1758958, 121.2149183 14.1759038, 121.2150645 14.1759188, 121.2152098 14.1759409, 121.2153537 14.1759674, 121.2155164 14.1760004, 121.2156842 14.1760405, 121.216041 14.1761412, 121.2161842 14.1761862)"
142457263,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1851058 14.1778805, 121.1851819 14.1778415)"
12915368714,stop,Los Baños,,,,POINT (121.2216279 14.178200700000001)
,platform,,,,,"POLYGON ((121.2213627 14.1781203, 121.2214582 14.1781676, 121.2214451 14.1781926, 121.2215547 14.178247, 121.2215679 14.178222, 121.2218504 14.1783621, 121.221861 14.1783421, 121.2213733 14.1781002, 121.2213627 14.1781203))"
12915368713,station,Los Baños,,,,POINT (121.2216245 14.1782944)
142457264,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1851819 14.1778415, 121.1853999 14.17773, 121.1855659 14.1776609, 121.185735 14.1775995, 121.1859069 14.1775458, 121.1860812 14.1774999, 121.1862576 14.177462, 121.1864356 14.1774322, 121.1866122 14.1774107, 121.1867896 14.1773971, 121.1869675 14.1773915, 121.1871455 14.1773938, 121.1873232 14.1774041, 121.1875002 14.1774224, 121.2007367 14.1790715, 121.2011063 14.1791151, 121.2022366 14.179261, 121.2028868 14.1793259, 121.2034315 14.1793493, 121.2035416 14.1793505, 121.2064245 14.1792971, 121.2066101 14.1792949, 121.2067954 14.1792843, 121.2069801 14.1792653, 121.2071636 14.1792381, 121.2072732 14.1792167, 121.2073456 14.1792026, 121.2075257 14.179159, 121.2077041 14.1791072, 121.2078797 14.1790473, 121.2080523 14.1789796, 121.2082215 14.1789042, 121.2083868 14.1788212, 121.2085503 14.1787296)"
12915010449,station,Pansol,,,,POINT (121.18365700000001 14.178585400000001)
97335637,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2085503 14.1787296, 121.2087494 14.178613)"
12915010448,station,Masili,,,,POINT (121.20073670000001 14.179071500000001)
97335635,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2162372 14.1762009, 121.2182818 14.1767852, 121.2185868 14.1768725, 121.2188893 14.1769677, 121.219189 14.1770708, 121.219486 14.1771817, 121.2197798 14.1773003, 121.2200702 14.1774265, 121.2216279 14.1782007, 121.2222425 14.1785092, 121.22254 14.1786546, 121.222684 14.1787289, 121.2228192 14.178808, 121.2229514 14.1788917, 121.2230804 14.1789801, 121.223205 14.179072, 121.2233315 14.1791665, 121.2233637 14.1791902, 121.2234586 14.1792725, 121.2236188 14.1794388, 121.2236734 14.1795013, 121.2237819 14.1796254, 121.2238425 14.1796968, 121.2242691 14.180194, 121.2246635 14.1806608, 121.2248573 14.1808936, 121.2248984 14.1809385, 121.2249269 14.1809724, 121.2250021 14.1810616, 121.2251131 14.1811785, 121.2252309 14.181289, 121.2253552 14.1813926, 121.2254855 14.1814889, 121.2256214 14.1815777, 121.2257625 14.1816586, 121.2259082 14.1817314, 121.2260536 14.1817941, 121.2262024 14.1818486, 121.2263542 14.1818949, 121.2265085 14.1819327, 121.2266648 14.181962, 121.2268225 14.1819826, 121.2269811 14.1819945, 121.2271402 14.1819977, 121.2310463 14.1819373)"
128952954,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1752615 14.1835293, 121.1755244 14.1833547, 121.1776558 14.1819566, 121.1792666 14.1808936, 121.1794609 14.1807716, 121.1796562 14.1806515, 121.1796972 14.1806273, 121.1798509 14.1805368, 121.1800477 14.1804253, 121.1801176 14.1803886, 121.1813361 14.1797544, 121.1823664 14.1792254, 121.183657 14.1785854, 121.1839343 14.1784499, 121.1851058 14.1778805)"
,platform,,,,,"POLYGON ((121.239987 14.1817459, 121.2404993 14.181738, 121.2404989 14.1817128, 121.2402223 14.1817171, 121.2399866 14.1817207, 121.239987 14.1817459))"
1364901645,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2414792 14.1817613, 121.2418728 14.1817093)"
12682664625,switch,,,,,POINT (121.24049930000001 14.181753)
1369420607,rail,,,,,"LINESTRING (121.2399868 14.1817594, 121.2404993 14.181753)"
1369420605,rail,,,,,"LINESTRING (121.2408203 14.1817857, 121.2407925 14.1817848, 121.2407648 14.1817822, 121.2405472 14.1817553, 121.2405232 14.1817537, 121.2404993 14.181753)"
109359311,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2409805 14.1817829, 121.2410241 14.181781, 121.2412872 14.1817683, 121.2414792 14.1817613)"
12682664624,switch,,,,,POINT (121.24082030000001 14.1817857)
1364901646,rail,PNR South Main Line,1067,no,,"LINESTRING (121.240248 14.1817952, 121.2405001 14.181791, 121.2408203 14.1817857, 121.2409605 14.1817834, 121.2409805 14.1817829)"
253801271,stop,College,,,,POINT (121.24024800000001 14.181795200000002)
