osm_id,reservoir_type,man_made,utility,natural,name,geometry
,,wastewater_plant,,,Treatment Plant,"POLYGON ((121.0723915 14.7151869, 121.0712659 14.7142517, 121.0709289 14.7146311, 121.0720546 14.7155663, 121.0723915 14.7151869))"
,,wastewater_plant,,,,"POLYGON ((121.0702335 14.7224643, 121.070768 14.7219167, 121.0712745 14.7213979, 121.0702406 14.7204537, 121.0691995 14.7215202, 121.0702335 14.7224643))"
,,wastewater_plant,,,San Rafael Treatment Plant,"POLYGON ((121.1525984 14.7378776, 121.1526132 14.7375818, 121.1521994 14.7375557, 121.1519337 14.7375339, 121.1519104 14.7378477, 121.1525984 14.7378776))"
,,wastewater_plant,,,Prime Water-San Jose Water Treatment Facility,"POLYGON ((121.0776544 14.8427246, 121.0772218 14.8405024, 121.0764145 14.8406493, 121.0768475 14.8428714, 121.0776544 14.8427246))"
,,wastewater_plant,,,,"POLYGON ((121.0780502 14.8440323, 121.0779553 14.8435668, 121.0770347 14.8437422, 121.0771297 14.8442078, 121.0780502 14.8440323))"
,,wastewater_plant,,,Tagaytay Sewage Treatment PLant,"POLYGON ((120.9035846 14.1143234, 120.9034362 14.1145848, 120.9033121 14.1147861, 120.9034567 14.1148515, 120.9037229 14.1143914, 120.9035846 14.1143234))"
,,wastewater_plant,,,,"POLYGON ((120.7696566 14.1450604, 120.7694948 14.1449857, 120.769478 14.1450199, 120.7694414 14.145003, 120.7693143 14.1452615, 120.7691256 14.1451743, 120.7689215 14.1455898, 120.7693087 14.1457686, 120.7696566 14.1450604))"
,,wastewater_plant,,,,"POLYGON ((120.7693698 14.1462642, 120.7689889 14.1460936, 120.7689309 14.1462154, 120.7693118 14.146386, 120.7693698 14.1462642))"
,,wastewater_plant,,,,"POLYGON ((120.9701316 14.2048143, 120.9701955 14.2047213, 120.9700116 14.2046076, 120.969961 14.2047045, 120.9701316 14.2048143))"
,,wastewater_plant,,,,"POLYGON ((120.9219778 14.2899022, 120.9219329 14.2896628, 120.9218539 14.2896768, 120.9218988 14.2899161, 120.9219778 14.2899022))"
,,wastewater_plant,,,,"POLYGON ((120.9144223 14.2911899, 120.9144209 14.291325, 120.9144665 14.2913254, 120.9144679 14.2911903, 120.9144223 14.2911899))"
,,wastewater_plant,,,Sewerage Treatment Plant,"POLYGON ((120.9581121 14.3019845, 120.9581287 14.3019714, 120.9581143 14.3019542, 120.9580977 14.3019673, 120.9581121 14.3019845))"
917832837,,pipeline,,,,"LINESTRING (120.9695551 14.3083034, 120.9694763 14.3082432)"
,,wastewater_plant,,,FAB Sewage Treatment Plant,"POLYGON ((120.497845 14.4372563, 120.4988491 14.4376167, 120.4990963 14.4377055, 120.4994211 14.4355528, 120.4994414 14.4349728, 120.4985897 14.4347288, 120.4976773 14.4371975, 120.497845 14.4372563))"
,,wastewater_plant,,,,"POLYGON ((121.0211708 14.2922894, 121.0213613 14.2920789, 121.0212117 14.2919518, 121.0210213 14.2921624, 121.0211708 14.2922894))"
16225371,,wastewater_plant,,,Carmona Water District Septage Treatment Facility,"POLYGON ((121.0580113 14.3002128, 121.0584795 14.3003679, 121.0587305 14.2999838, 121.0586261 14.299918, 121.0583901 14.2999232, 121.0581162 14.2998913, 121.0580113 14.3002128))"
,,wastewater_plant,,,Muntinlupa Sewage Treatment Plant,"POLYGON ((121.052945 14.3853995, 121.0530039 14.3851033, 121.0517205 14.3848734, 121.0517004 14.3849656, 121.0515904 14.3849604, 121.0515261 14.3852254, 121.0512203 14.3852202, 121.0511962 14.3852942, 121.0511465 14.3853111, 121.0511439 14.3854891, 121.051282 14.3855385, 121.0518989 14.385558, 121.0529101 14.3854436, 121.052945 14.3853995))"
,,wastewater_plant,,,,"POLYGON ((121.0060465 14.4046616, 121.0059779 14.4045378, 121.0058832 14.404587, 121.0059518 14.4047108, 121.0060465 14.4046616))"
,,wastewater_plant,,,Filinvest City Sewage Treatment Plant,"POLYGON ((121.044202 14.4232712, 121.0441646 14.4232006, 121.0441362 14.4230097, 121.0441151 14.4228269, 121.0431249 14.4228027, 121.0431153 14.4229981, 121.0432829 14.4231235, 121.0435465 14.4231917, 121.0435399 14.4233088, 121.0436022 14.4233592, 121.0436838 14.4233194, 121.0437401 14.4232977, 121.0438972 14.4233389, 121.0439353 14.4233961, 121.0441489 14.4232607, 121.044202 14.4232712))"
,,wastewater_plant,,,,"POLYGON ((121.0051038 14.4263433, 121.0051074 14.426318, 121.0051157 14.4262612, 121.0050155 14.4261929, 121.0049169 14.4261995, 121.0049239 14.4263586, 121.0051038 14.4263433))"
,,wastewater_plant,,,Cupang Water Reclamation Facility,"POLYGON ((121.0500173 14.4313893, 121.0500173 14.4313151, 121.0496244 14.4313228, 121.0495546 14.4312307, 121.0485824 14.4312359, 121.0487353 14.4323321, 121.0495279 14.4323035, 121.0496124 14.4314566, 121.0500173 14.4314463, 121.0500173 14.4313893))"
917359879,,pipeline,,,,"LINESTRING (121.0158033 14.4337839, 121.0157776 14.4337637, 121.0157439 14.4337327, 121.0157221 14.4337008, 121.0156954 14.4336642, 121.0156614 14.4335879, 121.0156265 14.4334762, 121.0156185 14.4334279, 121.0156125 14.433365, 121.015617 14.433186, 121.0156292 14.432952)"
,,wastewater_plant,,,NAIA Terminal 1 Wastewater Treatment Facilty,"POLYGON ((121.003358 14.5059983, 121.0033983 14.5059249, 121.0028246 14.5056297, 121.0026595 14.5059467, 121.0031319 14.5062111, 121.0032171 14.5062549, 121.003358 14.5059983))"
,,wastewater_plant,,,Waste Water Treatment Plant,"POLYGON ((120.4988337 14.4373298, 120.4989342 14.4370498, 120.4985296 14.4369136, 120.4984291 14.4371936, 120.4988337 14.4373298))"
17465163,,wastewater_plant,,,Parañaque Water Reclamation Facility,"POLYGON ((120.9930151 14.4816582, 120.9941388 14.4814521, 120.9941567 14.4817438, 120.9941675 14.4818279, 120.994269 14.4821088, 120.9951474 14.4816387, 120.9951125 14.481566, 120.995311 14.4814297, 120.9949905 14.4806753, 120.9948765 14.4805104, 120.9946284 14.4800039, 120.994269 14.4801844, 120.9943803 14.4805285, 120.9943843 14.480696, 120.9940758 14.4807701, 120.9939364 14.4807402, 120.9938697 14.4803101, 120.9934869 14.4805266, 120.9937243 14.4810472, 120.9936098 14.4811166, 120.9934738 14.4811903, 120.9932016 14.4812832, 120.9929924 14.4813187, 120.9930151 14.4816582))"
17083864,,wastewater_plant,,,MIAA Sewage Treatment Plant,"POLYGON ((120.9975989 14.5000857, 120.9975893 14.5001326, 120.9975808 14.5001668, 120.9977533 14.5001756, 120.9985697 14.5001596, 120.9985681 14.49953, 120.9977237 14.4995546, 120.9975989 14.5000857))"
,,wastewater_plant,,,,"POLYGON ((120.6056263 14.5301509, 120.6056705 14.5298516, 120.6045571 14.5295779, 120.6044334 14.5292785, 120.6043747 14.5290074, 120.6039258 14.5286597, 120.6030815 14.5295009, 120.602728 14.5299628, 120.6056263 14.5301509))"
,,wastewater_plant,,,Estero de Tripa de Gallina Pumping Station,"POLYGON ((121.0002758 14.5294913, 121.000028 14.5295014, 120.9999666 14.5297419, 120.999996 14.5297484, 121.0001193 14.5295657, 121.0004594 14.5295971, 121.0005147 14.5296135, 121.000362 14.5301467, 121.0006981 14.5302433, 121.0007933 14.5299244, 121.0012446 14.5299933, 121.0012657 14.5295228, 121.0002758 14.5294913))"
,,wastewater_plant,,,,"POLYGON ((121.0009868 14.5541936, 121.0010516 14.5541386, 121.0010534 14.5541152, 121.0010038 14.5540741, 121.000957 14.5540341, 121.0008315 14.5541578, 121.0008732 14.5541977, 121.0009069 14.5542319, 121.0009868 14.5541936))"
10800994507,,wastewater_plant,,,Sewage Treatment Plant - Abad,POINT (120.98525120000001 14.5631091)
,,wastewater_plant,,,Paco Water Reclamation Facility,"POLYGON ((120.9931007 14.5887978, 120.9931719 14.5887185, 120.993003 14.5885284, 120.9928972 14.5886274, 120.9931007 14.5887978))"
,,wastewater_plant,,,,"POLYGON ((120.961135 14.6296169, 120.9611367 14.6296399, 120.9611466 14.6296609, 120.9611634 14.6296772, 120.9611851 14.6296867, 120.9612088 14.6296883, 120.9612297 14.6296826, 120.9612476 14.6296708, 120.9612607 14.629654, 120.9612675 14.6296341, 120.9612674 14.6296131, 120.9612603 14.6295933, 120.9612471 14.6295767, 120.9612262 14.6295639, 120.9612021 14.6295593, 120.9611778 14.6295635, 120.9611568 14.6295759, 120.9611418 14.6295949, 120.961135 14.6296169))"
,,wastewater_plant,,,,"POLYGON ((120.9621325 14.6323024, 120.962122 14.6323223, 120.9621205 14.6323446, 120.9621284 14.6323657, 120.9621443 14.6323819, 120.9621655 14.6323907, 120.9621874 14.6323908, 120.9622076 14.6323829, 120.9622233 14.6323682, 120.962232 14.6323488, 120.9622326 14.6323277, 120.9622249 14.6323079, 120.9622106 14.6322929, 120.9621916 14.6322839, 120.9621706 14.6322823, 120.9621504 14.6322882, 120.9621325 14.6323024))"
,,wastewater_plant,,,,"POLYGON ((121.0619545 14.5252827, 121.0620591 14.5252613, 121.0621 14.5251788, 121.0619746 14.5238514, 121.0613128 14.5236041, 121.0608105 14.5248355, 121.0619545 14.5252827))"
,,wastewater_plant,,,,"POLYGON ((121.0072716 14.531803, 121.0074896 14.5318673, 121.0075238 14.5318517, 121.0075531 14.5318672, 121.0075915 14.5318874, 121.0075915 14.5319224, 121.0078081 14.5320893, 121.0080059 14.5319341, 121.0080495 14.5320581, 121.0081266 14.5320062, 121.0082982 14.5322152, 121.0085256 14.5320153, 121.0093094 14.5315375, 121.0089996 14.5311033, 121.008891 14.531174, 121.008781 14.5312961, 121.0082614 14.5314635, 121.0074983 14.5316797, 121.007224 14.5317582, 121.0072716 14.531803))"
,,wastewater_plant,,,Ayala Sewage Treatment Plant,"POLYGON ((121.0128687 14.5319547, 121.0127611 14.53194, 121.0126898 14.5322478, 121.0128884 14.532321, 121.0131722 14.5323537, 121.0132315 14.5320129, 121.0133416 14.5312886, 121.0129528 14.5312379, 121.0128687 14.5319547))"
,,pumping_station,,,EDSA-Ayala Tunnel Pumping Station,"POLYGON ((121.0258453 14.5474282, 121.0258966 14.5473686, 121.0258564 14.5473362, 121.025805 14.5473958, 121.0258453 14.5474282))"
,,wastewater_plant,,,Pineda Sewage Treatment Plant,"POLYGON ((121.0609333 14.5638428, 121.0610829 14.563992, 121.0613236 14.5637761, 121.0611695 14.5636288, 121.0609333 14.5638428))"
,,wastewater_plant,,,Poblacion Sewage Treatment Plant,"POLYGON ((121.027805 14.5720739, 121.0279063 14.5719926, 121.0276095 14.5716461, 121.027406 14.5718094, 121.0277029 14.5721558, 121.027805 14.5720739))"
5801446053,,pumping_station,,,Santa Clara Pumping Station,POINT (121.0164756 14.5796632)
,,wastewater_plant,,,,"POLYGON ((121.0117948 14.5821795, 121.011898 14.5822124, 121.0119175 14.5821552, 121.0118143 14.5821223, 121.0117948 14.5821795))"
,,pumping_station,,,EDSA-Cubao Underpass Pumping Station,"POLYGON ((121.0501871 14.6213694, 121.0502187 14.6213818, 121.0502286 14.6213581, 121.050197 14.6213457, 121.0501871 14.6213694))"
,,wastewater_plant,,,Talayan Sewage Treatment Plant,"POLYGON ((121.0141754 14.6300624, 121.0138316 14.630426, 121.0139996 14.6305889, 121.0142596 14.6304745, 121.0144437 14.6302945, 121.0141754 14.6300624))"
,,wastewater_plant,,,Philam Sewage Treatment Plant,"POLYGON ((121.0279977 14.6461318, 121.0282886 14.6460786, 121.0282455 14.6458671, 121.027942 14.6459003, 121.0279977 14.6461318))"
,,wastewater_plant,,,East Avenue Sewage Treatment Plant,"POLYGON ((121.0441264 14.6463648, 121.0444552 14.646215, 121.044656 14.6461548, 121.044692 14.646144, 121.0452307 14.6459598, 121.0453656 14.6459213, 121.0453917 14.6458789, 121.045418 14.6458373, 121.0453685 14.6456814, 121.0453507 14.6456253, 121.0452572 14.6456526, 121.0452038 14.6455017, 121.044598 14.6456684, 121.0444029 14.645842, 121.0440969 14.6461572, 121.0427835 14.6464901, 121.0424694 14.6469715, 121.0425286 14.6470021, 121.042833 14.6465484, 121.0437275 14.6463265, 121.0440489 14.6462222, 121.0441264 14.6463648))"
,,wastewater_plant,,,Water Treatment Plant,"POLYGON ((121.0706542 14.6786792, 121.0704786 14.6782965, 121.0704309 14.6781583, 121.0693472 14.6781734, 121.0693561 14.6786883, 121.0706542 14.6786792))"
,,wastewater_plant,,,Bagbag Water Reclamation Facility,"POLYGON ((121.0258211 14.6802308, 121.0260166 14.679557, 121.0255623 14.6794589, 121.0255415 14.6795461, 121.025399 14.6801431, 121.0258211 14.6802308))"
,,wastewater_plant,,,,"POLYGON ((121.0574162 14.6812552, 121.0572339 14.6810811, 121.0570492 14.6812622, 121.0572315 14.6814362, 121.0574162 14.6812552))"
,,wastewater_plant,,,,"POLYGON ((121.0688605 14.7121397, 121.068863 14.7121779, 121.0688765 14.712214, 121.0689 14.7122449, 121.0689316 14.7122681, 121.0689686 14.7122818, 121.0690081 14.7122848, 121.0690469 14.712277, 121.0690819 14.7122589, 121.0691101 14.712232, 121.0691294 14.7121985, 121.0691382 14.7121611, 121.0691357 14.7121228, 121.0691221 14.7120868, 121.0690986 14.7120559, 121.0690671 14.7120327, 121.0690301 14.712019, 121.0689905 14.7120159, 121.0689517 14.7120238, 121.0689168 14.7120419, 121.0688885 14.7120688, 121.0688692 14.7121023, 121.0688605 14.7121397))"
,,wastewater_plant,,,,"POLYGON ((121.0690825 14.7123155, 121.069085 14.7123538, 121.0690985 14.7123898, 121.069122 14.7124207, 121.0691536 14.7124439, 121.0691906 14.7124576, 121.0692301 14.7124607, 121.0692689 14.7124528, 121.0693039 14.7124347, 121.0693321 14.7124078, 121.0693514 14.7123743, 121.0693602 14.7123369, 121.0693577 14.7122987, 121.0693441 14.7122626, 121.0693206 14.7122317, 121.0692891 14.7122085, 121.069252 14.7121948, 121.0692125 14.7121918, 121.0691737 14.7121996, 121.0691388 14.7122177, 121.0691105 14.7122446, 121.0690912 14.7122781, 121.0690825 14.7123155))"
,,wastewater_plant,,,,"POLYGON ((121.0688937 14.7125389, 121.068897 14.7125724, 121.0689091 14.712604, 121.0689293 14.7126315, 121.0689561 14.712653, 121.0689878 14.7126671, 121.0690222 14.7126727, 121.0690568 14.7126696, 121.0690895 14.7126579, 121.0691179 14.7126384, 121.0691402 14.7126124, 121.0691547 14.7125818, 121.0691606 14.7125485, 121.0691573 14.712515, 121.0691452 14.7124834, 121.069125 14.7124559, 121.0690982 14.7124344, 121.0690665 14.7124203, 121.0690321 14.7124147, 121.0689974 14.7124178, 121.0689648 14.7124295, 121.0689363 14.712449, 121.0689141 14.712475, 121.0688996 14.7125056, 121.0688937 14.7125389))"
,,wastewater_plant,,,,"POLYGON ((121.0683275 14.7131865, 121.0683307 14.7132201, 121.0683429 14.7132517, 121.068363 14.7132792, 121.0683899 14.7133007, 121.0684216 14.7133147, 121.0684559 14.7133204, 121.0684906 14.7133172, 121.0685233 14.7133055, 121.0685517 14.713286, 121.0685739 14.71326, 121.0685885 14.7132294, 121.0685943 14.7131962, 121.0685911 14.7131626, 121.0685789 14.713131, 121.0685588 14.7131035, 121.0685319 14.713082, 121.0685003 14.7130679, 121.0684659 14.7130623, 121.0684312 14.7130654, 121.0683985 14.7130772, 121.0683701 14.7130967, 121.0683479 14.7131226, 121.0683333 14.7131533, 121.0683275 14.7131865))"
,,wastewater_plant,,,,"POLYGON ((121.0679128 14.7132278, 121.0679161 14.7132614, 121.0679282 14.713293, 121.0679483 14.7133205, 121.0679752 14.713342, 121.0680069 14.7133561, 121.0680412 14.7133617, 121.0680759 14.7133585, 121.0681086 14.7133468, 121.068137 14.7133273, 121.0681593 14.7133014, 121.0681738 14.7132707, 121.0681796 14.7132375, 121.0681764 14.7132039, 121.0681642 14.7131723, 121.0681441 14.7131448, 121.0681172 14.7131233, 121.0680856 14.7131093, 121.0680512 14.7131036, 121.0680165 14.7131068, 121.0679838 14.7131185, 121.0679554 14.713138, 121.0679332 14.713164, 121.0679186 14.7131946, 121.0679128 14.7132278))"
,,wastewater_plant,,,,"POLYGON ((121.0681364 14.7134094, 121.0681396 14.713443, 121.0681518 14.7134746, 121.0681719 14.7135021, 121.0681988 14.7135236, 121.0682305 14.7135376, 121.0682648 14.7135433, 121.0682995 14.7135401, 121.0683322 14.7135284, 121.0683606 14.7135089, 121.0683828 14.713483, 121.0683974 14.7134523, 121.0684032 14.7134191, 121.0684 14.7133855, 121.0683878 14.7133539, 121.0683677 14.7133264, 121.0683408 14.7133049, 121.0683092 14.7132909, 121.0682748 14.7132852, 121.0682401 14.7132884, 121.0682074 14.7133001, 121.068179 14.7133196, 121.0681568 14.7133456, 121.0681422 14.7133762, 121.0681364 14.7134094))"
,,wastewater_plant,,,Dagat-Dagatan Sewage and Septage Treatment Plant,"POLYGON ((120.9718387 14.6372839, 120.972197 14.637214, 120.9721546 14.6363652, 120.972424 14.6363137, 120.9723779 14.6356705, 120.972358 14.6351337, 120.9733075 14.6348223, 120.973345 14.6346562, 120.9731184 14.6340632, 120.9731533 14.6339996, 120.9729132 14.633417, 120.972826 14.6333145, 120.9726463 14.633308, 120.97202 14.633478, 120.9708345 14.6341891, 120.970742 14.6346186, 120.9693217 14.6346887, 120.9688872 14.6347743, 120.968729 14.635584, 120.96891 14.6364028, 120.9692667 14.6376809, 120.9694916 14.6376409, 120.9718387 14.6372839))"
