osm_id,amenity,building,healthcare,name,geometry
14556403,hospital,,hospital,Dasmariñas Mega Isolation Facility,"POLYGON ((120.9472938 14.2520268, 120.9473521 14.252027, 120.9474375 14.2520273, 120.9475143 14.2520276, 120.9475721 14.2520278, 120.9475725 14.2519251, 120.9477958 14.2519254, 120.9478372 14.2513504, 120.9470929 14.2513475, 120.9470892 14.2519245, 120.9472942 14.2519246, 120.9472938 14.2520268))"
1991630032,hospital,,,Geuvara's Clinic,POINT (120.9717583 14.2223029)
,,hospital,,,"POLYGON ((120.9685499 14.224572, 120.9686114 14.2245524, 120.9686578 14.2246893, 120.9687431 14.2246621, 120.9686675 14.2244393, 120.9684412 14.2245114, 120.9685145 14.2247276, 120.9685941 14.2247022, 120.9685499 14.224572))"
,hospital,,hospital,Estrella Hospital,"POLYGON ((120.9684124 14.2245067, 120.9685948 14.2249892, 120.9689274 14.2249034, 120.9687609 14.2244078, 120.9684124 14.2245067))"
,clinic,house,clinic,San Bartolome Medical Clinic,"POLYGON ((120.9739545 14.224946, 120.9739605 14.2249915, 120.9740309 14.2249895, 120.9740309 14.2249414, 120.9740718 14.2249343, 120.9740625 14.2248432, 120.9739063 14.2248581, 120.9739156 14.2249492, 120.9739545 14.224946))"
,,hospital,,,"POLYGON ((120.9739402 14.2280514, 120.9739301 14.2278597, 120.9737636 14.2278764, 120.9737676 14.2279499, 120.9738279 14.2279518, 120.9738326 14.2280006, 120.9737783 14.2280064, 120.9737837 14.2280578, 120.9739402 14.2280514))"
924683161,hospital,,,Silang Doctors Hospital,POINT (120.97377200000001 14.2279789)
,hospital,,hospital,Velazco Hospital,"POLYGON ((120.9769365 14.2346856, 120.9768668 14.2343762, 120.9770311 14.234347, 120.9770009 14.2341929, 120.9763746 14.2343197, 120.9764041 14.2346336, 120.9764108 14.2347948, 120.9769365 14.2346856))"
9906784,,hospital,,,"POLYGON ((120.9764542 14.234782, 120.9769273 14.234688, 120.9768606 14.2343728, 120.9770252 14.2343401, 120.977 14.2342207, 120.9766762 14.2342851, 120.9766739 14.2342739, 120.9765088 14.2343068, 120.9765214 14.2343661, 120.976612 14.2343481, 120.9766331 14.2344476, 120.9766604 14.2344422, 120.9767037 14.2346469, 120.9764369 14.2346999, 120.9764542 14.234782), (120.9767884 14.2343607, 120.9768326 14.2345908, 120.9767756 14.2346011, 120.9767314 14.234371, 120.9767884 14.2343607))"
,,hospital,,,"POLYGON ((120.9726906 14.234436, 120.9726902 14.2344857, 120.9726898 14.2345271, 120.9727151 14.2345633, 120.9727175 14.2346241, 120.9727114 14.2346682, 120.9726826 14.2347039, 120.9732146 14.2347911, 120.9732802 14.2344492, 120.9728935 14.2343897, 120.9727112 14.2343616, 120.9726906 14.234436))"
,hospital,,,Silang Specialists Medical Center,"POLYGON ((120.9738842 14.2351298, 120.9739522 14.2345663, 120.973957 14.2345084, 120.9724505 14.2342423, 120.9724184 14.2343645, 120.9723955 14.2344113, 120.9723499 14.2344399, 120.9725082 14.2348676, 120.9738842 14.2351298))"
4266505225,clinic,,,Mercado Health Center,POINT (120.7254649 14.8230172)
,hospital,,,Macabebe District Hospital,"POLYGON ((120.7146696 14.8937597, 120.7139246 14.8938771, 120.7140874 14.8944362, 120.7141124 14.8944629, 120.7147346 14.8943689, 120.7146696 14.8937597))"
5531076444,clinic,,,Looc Health Center,POINT (120.62953700000001 14.1643772)
,,hospital,,,"POLYGON ((120.6272693 14.2661723, 120.6273614 14.2659888, 120.6273888 14.2660017, 120.6274618 14.2658564, 120.6273131 14.2657863, 120.6271481 14.2661152, 120.6272693 14.2661723))"
,,hospital,,,"POLYGON ((120.6271663 14.2663778, 120.6272693 14.2661723, 120.6271481 14.2661152, 120.627045 14.2663207, 120.6271663 14.2663778))"
,hospital,,hospital,,"POLYGON ((120.6273131 14.2657863, 120.6272372 14.2657488, 120.627104 14.2659012, 120.6268439 14.2663509, 120.6268077 14.2664445, 120.6266896 14.2666836, 120.626628 14.2667707, 120.6265113 14.2669917, 120.6268173 14.2671249, 120.6271644 14.266451, 120.6271939 14.2663919, 120.6273888 14.2660017, 120.6274618 14.2658564, 120.6273131 14.2657863))"
924256812,doctors,,doctor,Rural Health Unit,POINT (120.74066930000001 14.1777592)
,clinic,yes,clinic,Maragondon Health Center,"POLYGON ((120.7353027 14.2755868, 120.7353778 14.2755634, 120.7353429 14.2754516, 120.735174 14.2755036, 120.7352142 14.2756154, 120.7353027 14.2755868))"
,,hospital,,,"POLYGON ((120.7336949 14.2769148, 120.7336382 14.2768033, 120.7333526 14.2769398, 120.7334093 14.2770513, 120.7336949 14.2769148))"
,hospital,,hospital,Cavite Municipal Hospital,"POLYGON ((120.7340738 14.277628, 120.7335981 14.2766389, 120.7335663 14.276798, 120.7333289 14.2769319, 120.7337378 14.2777934, 120.7340738 14.277628))"
,,hospital,,,"POLYGON ((120.7338921 14.2773242, 120.7337652 14.2770642, 120.7336659 14.2771097, 120.7337928 14.2773697, 120.7338921 14.2773242))"
,,hospital,,,"POLYGON ((120.7337137 14.2773476, 120.7336602 14.2772428, 120.7335274 14.2773065, 120.7335809 14.2774113, 120.7337137 14.2773476))"
,,hospital,,,"POLYGON ((120.7339551 14.2774646, 120.7338966 14.277345, 120.733792 14.2773931, 120.7338505 14.2775127, 120.7339551 14.2774646))"
,,hospital,,,"POLYGON ((120.7338419 14.2775139, 120.7337893 14.2773916, 120.733662 14.277443, 120.7336436 14.2774001, 120.7335979 14.2774185, 120.7336689 14.2775837, 120.7338419 14.2775139))"
,,hospital,,,"POLYGON ((120.7340362 14.2776125, 120.7339731 14.2774994, 120.7338855 14.2775453, 120.7339485 14.2776584, 120.7340362 14.2776125))"
,,hospital,,,"POLYGON ((120.7338505 14.2777336, 120.7338067 14.2776282, 120.7337034 14.2776685, 120.7337472 14.2777739, 120.7338505 14.2777336))"
,,hospital,,,"POLYGON ((120.7712063 14.3147423, 120.7713437 14.3145824, 120.7710238 14.3143243, 120.7709764 14.3143795, 120.7710512 14.3144399, 120.7710644 14.3144504, 120.7709743 14.3145552, 120.7712063 14.3147423))"
