osm_id,power,voltage,utility,name,geometry
831448227,minor_line,34500,,,"LINESTRING (120.912884 14.4043084, 120.9132538 14.4042735, 120.913624 14.4042386, 120.9140853 14.4041895, 120.9145007 14.4041363, 120.9145209 14.4038409, 120.9145422 14.4035656, 120.9145638 14.403308, 120.9145935 14.4029735, 120.9149385 14.4029503, 120.9151742 14.4029403, 120.9154477 14.4029304, 120.9156798 14.4029251, 120.915975 14.4029193, 120.9160281 14.4031042, 120.9160458 14.4033301, 120.9160529 14.4035597, 120.9160587 14.4037875, 120.9160286 14.40397, 120.9164614 14.403943, 120.9168782 14.4039154, 120.9172533 14.4038947, 120.91759 14.4038667, 120.9178287 14.4039051)"
7762929453,pole,,,,POINT (120.91605870000001 14.403787500000002)
12646706475,pole,,,,POINT (120.91452090000001 14.4038409)
7762929444,pole,,,,POINT (120.91725330000001 14.4038947)
7762929445,pole,,,,POINT (120.91687820000001 14.4039154)
7762929446,pole,,,,POINT (120.9164614 14.403943000000002)
7762929447,pole,,,,POINT (120.9160286 14.403970000000001)
7762929452,pole,,,,POINT (120.9145007 14.404136300000001)
7762929451,pole,,,,POINT (120.91408530000001 14.404189500000001)
7762929450,pole,,,,POINT (120.91362400000001 14.404238600000001)
7762929448,pole,,,,POINT (120.9132538 14.4042735)
5676744545,pole,,,,POINT (120.90410650000001 14.4055222)
5676744316,pole,,,,POINT (120.9033354 14.4055417)
2502742828,pole,,,,POINT (120.90522480000001 14.4055526)
2502742830,pole,,,,POINT (120.9064939 14.405559100000001)
5676744319,pole,,,,POINT (120.90269830000001 14.4055768)
2502742833,pole,,,,POINT (120.90553220000001 14.405579000000001)
2502742829,pole,,,,POINT (120.9076033 14.405606800000001)
5676744541,pole,,,,POINT (120.9043063 14.405608)
2502742841,pole,,,,POINT (120.90556740000001 14.405628900000002)
2549533816,pole,,,,POINT (120.90461540000001 14.405637500000001)
2502742835,pole,,,,POINT (120.90782490000001 14.4056499)
2502742837,pole,,,,POINT (120.90674310000001 14.405681900000001)
