Category,Sum,Annual mean number,Standard Deviation
TS + TD,68,1.511111111111111,2.492007425771643
CAT 1,0,0.0,0.8686457589520913
CAT 2,10,0.2222222222222222,0.6236095644623236
CAT 3,1,0.022222222222222223,0.5860327153276884
CAT 4,15,0.3333333333333333,0.6613423753047564
CAT 5,16,0.35555555555555557,0.3178208630818641
CAT 1 - 2,10,0.2222222222222222,1.069314894422753
CAT 3 - 5,32,0.7111111111111111,0.9282328164938802
All,110,2.4444444444444446,2.8958346958793397
