longitude_latitude,return_level
120.65055188710535_14.05006426866001,-inf
120.55055142967717_14.65006701322912,-inf
123.95056698223546_7.850035908112533,-inf
124.95057155651732_10.15004642896079,-inf
125.65057475851461_10.250046886388976,-inf
125.35057338623005_6.150028131833386,-inf
125.35057338623005_7.550034535827978,-inf
124.35056881194821_8.250037737825274,-inf
125.25057292880187_6.850031333830682,-inf
125.35057338623005_6.550029961546127,-inf
124.95057155651732_5.9500272169770145,-inf
126.05057658822736_8.550039110109829,-inf
123.95056698223546_12.050055120096307,-inf
123.05056286538179_10.050045971532606,-inf
125.7505752159428_7.450034078399792,-inf
123.25056378023817_10.850049630958086,-inf
124.45056926937639_11.450052375527196,-inf
125.35057338623005_8.650039567538014,-inf
120.15054959996442_15.350070215226417,-inf
121.95055783367177_18.1500830232156,-inf
122.45056012081268_16.850077076649193,-inf
121.35055508910266_14.85006792808549,-inf
125.85057567337098_9.250042312107125,-inf
123.85056652480728_8.250037737825274,-inf
123.45056469509454_13.25006060923453,-inf
126.25057750308372_8.850040482394384,-inf
122.3505596633845_16.75007661922101,-inf
120.45055097224899_14.85006792808549,-inf
120.3505505148208_15.250069757798233,-inf
121.35055508910266_17.250078906361935,-inf
124.35056881194821_6.550029961546127,-inf
121.85055737624357_16.250074332080082,-inf
125.25057292880187_7.550034535827978,-inf
123.95056698223546_10.850049630958086,-inf
125.0505720139455_7.2500331635434225,-inf
125.85057567337098_8.250037737825274,-inf
125.25057292880187_12.250056034952678,-inf
121.15055417424628_14.65006701322912,-inf
125.45057384365825_7.2500331635434225,-inf
120.55055142967717_17.150078448933748,-inf
121.65055646138721_18.250083480643784,-inf
122.15055874852813_17.55008027864649,-inf
126.05057658822736_8.350038195253457,-inf
122.25055920595632_16.550075704364637,-inf
121.95055783367177_16.75007661922101,-inf
117.6505381642598_8.95004093982257,-inf
124.85057109908912_10.950050088386272,-inf
125.0505720139455_8.350038195253457,-inf
125.45057384365825_12.150055577524494,-inf
124.15056789709183_6.450029504117941,-inf
122.15055874852813_16.450075246936454,-inf
121.85055737624357_16.35007478950827,-inf
125.55057430108643_9.050041397250753,-inf
