longitude_latitude,return_level
120.65055188710535_14.05006426866001,415.28573526183646
120.55055142967717_14.65006701322912,368.4782841423854
123.95056698223546_7.850035908112533,119.8277395472917
124.95057155651732_10.15004642896079,360.3308848228171
125.65057475851461_10.250046886388976,453.15540307132324
125.35057338623005_6.150028131833386,128.46772609560128
125.35057338623005_7.550034535827978,248.55245409238634
124.35056881194821_8.250037737825274,165.5824931044218
125.25057292880187_6.850031333830682,131.19747042650926
125.35057338623005_6.550029961546127,95.96276130517194
124.95057155651732_5.9500272169770145,95.54046154924521
126.05057658822736_8.550039110109829,372.65009788465034
123.95056698223546_12.050055120096307,283.4500117531072
123.05056286538179_10.050045971532606,296.7390610466272
125.7505752159428_7.450034078399792,210.38257037717776
123.25056378023817_10.850049630958086,306.7488923239473
124.45056926937639_11.450052375527196,396.61251250137377
125.35057338623005_8.650039567538014,260.1321579315536
120.15054959996442_15.350070215226417,478.22613451029906
121.95055783367177_18.1500830232156,426.6157776979543
122.45056012081268_16.850077076649193,414.79664110833437
121.35055508910266_14.85006792808549,214.15770917383207
125.85057567337098_9.250042312107125,368.86763606713
123.85056652480728_8.250037737825274,173.66564604885446
123.45056469509454_13.25006060923453,444.0464522569083
126.25057750308372_8.850040482394384,442.64365985646236
122.3505596633845_16.75007661922101,422.42539366334995
120.45055097224899_14.85006792808549,345.68015174470946
120.3505505148208_15.250069757798233,401.7365911799433
121.35055508910266_17.250078906361935,587.5889903104842
124.35056881194821_6.550029961546127,95.28300827671254
121.85055737624357_16.250074332080082,439.24925594994374
125.25057292880187_7.550034535827978,2167.5014873486666
123.95056698223546_10.850049630958086,376.8754328122846
125.0505720139455_7.2500331635434225,137.7784984650746
125.85057567337098_8.250037737825274,250.15573232721692
125.25057292880187_12.250056034952678,396.77737460581676
121.15055417424628_14.65006701322912,272.5319077876257
125.45057384365825_7.2500331635434225,203.8909879366562
120.55055142967717_17.150078448933748,782.9084252627264
121.65055646138721_18.250083480643784,497.9028495296251
122.15055874852813_17.55008027864649,346.16373023902077
126.05057658822736_8.350038195253457,296.19337343624215
122.25055920595632_16.550075704364637,380.7730425467852
121.95055783367177_16.75007661922101,434.9746221971636
117.6505381642598_8.95004093982257,209.69272482124018
124.85057109908912_10.950050088386272,381.2054784107562
125.0505720139455_8.350038195253457,218.22697985428834
125.45057384365825_12.150055577524494,397.79321609204794
124.15056789709183_6.450029504117941,99.40498899150333
122.15055874852813_16.450075246936454,357.14423912286145
121.85055737624357_16.35007478950827,455.4352915920887
125.55057430108643_9.050041397250753,393.3648862050892
117.95053953654435_9.150041854678939,222.92536517419356
119.95054868510806_11.850054205239939,466.66658248196916
121.25055463167446_13.05005969437816,257.607067169949
125.15057247137369_7.750035450684347,257.115938867714
120.75055234453355_15.850072502367343,574.8398861413995
122.15055874852813_17.250078906361935,353.5412288767998
122.85056195052543_14.05006426866001,602.5713602011969
121.65055646138721_16.250074332080082,441.46179577041704
120.9505532593899_16.650076161792825,450.4693613814492
121.55055600395902_13.950063811231825,334.3127242692269
123.15056332280999_10.350047343817161,263.95822886523956
125.85057567337098_7.2500331635434225,187.90238864505258
118.75054319596984_9.95004551410442,269.9226379137675
124.65057018423276_7.350033620971606,112.67049677550227
117.75053862168798_8.95004093982257,195.57702566377407
125.35057338623005_7.450034078399792,212.76492367837426
120.65055188710535_16.1500738746519,583.7880366905166
124.35056881194821_6.350029046689755,82.94078708195163
122.05055829109995_6.750030876402496,145.5406117582499
