longitude_latitude,return_level
120.65055188710535_14.05006426866001,328.2552846690927
120.55055142967717_14.65006701322912,358.9362433728078
123.95056698223546_7.850035908112533,119.73383811701616
124.95057155651732_10.15004642896079,354.837200388954
125.65057475851461_10.250046886388976,364.0503662777893
125.35057338623005_6.150028131833386,89.39779325246076
125.35057338623005_7.550034535827978,179.22595411255242
124.35056881194821_8.250037737825274,165.4146600617475
125.25057292880187_6.850031333830682,102.88310226398953
125.35057338623005_6.550029961546127,95.05959116893496
124.95057155651732_5.9500272169770145,72.37548316775805
126.05057658822736_8.550039110109829,289.91605215510515
123.95056698223546_12.050055120096307,280.8391365004878
123.05056286538179_10.050045971532606,225.91148184589014
125.7505752159428_7.450034078399792,203.66332453973206
123.25056378023817_10.850049630958086,289.9015142988282
124.45056926937639_11.450052375527196,343.8254756655422
125.35057338623005_8.650039567538014,219.1309764781509
120.15054959996442_15.350070215226417,387.68752878207357
121.95055783367177_18.1500830232156,411.2425615306755
122.45056012081268_16.850077076649193,341.50963535205653
121.35055508910266_14.85006792808549,213.36050159953282
125.85057567337098_9.250042312107125,364.73911213027554
123.85056652480728_8.250037737825274,171.9610304558731
123.45056469509454_13.25006060923453,433.1229410548612
126.25057750308372_8.850040482394384,347.9930263564621
122.3505596633845_16.75007661922101,353.50535536085647
120.45055097224899_14.85006792808549,345.1609854445395
120.3505505148208_15.250069757798233,387.83997843482075
121.35055508910266_17.250078906361935,423.23853065405456
124.35056881194821_6.550029961546127,80.91864263674212
121.85055737624357_16.250074332080082,358.4213631441814
125.25057292880187_7.550034535827978,146.27908149086213
123.95056698223546_10.850049630958086,291.1116401276903
125.0505720139455_7.2500331635434225,128.8389984805081
125.85057567337098_8.250037737825274,242.317437149205
125.25057292880187_12.250056034952678,391.9249211194477
121.15055417424628_14.65006701322912,241.06399610046213
125.45057384365825_7.2500331635434225,149.63198173778798
120.55055142967717_17.150078448933748,555.463967356696
121.65055646138721_18.250083480643784,392.7291334102198
122.15055874852813_17.55008027864649,337.99061339992414
126.05057658822736_8.350038195253457,284.0899396824142
122.25055920595632_16.550075704364637,369.9692716132427
121.95055783367177_16.75007661922101,342.15944566587797
117.6505381642598_8.95004093982257,207.36549217184205
124.85057109908912_10.950050088386272,373.90076954602455
125.0505720139455_8.350038195253457,183.63754979064691
125.45057384365825_12.150055577524494,388.2979636212036
124.15056789709183_6.450029504117941,98.46068719471164
122.15055874852813_16.450075246936454,356.04179181765073
121.85055737624357_16.35007478950827,366.7505764566169
125.55057430108643_9.050041397250753,335.58011883836804
117.95053953654435_9.150041854678939,214.25070677024104
119.95054868510806_11.850054205239939,443.5749365962008
121.25055463167446_13.05005969437816,254.1967259091611
125.15057247137369_7.750035450684347,184.08221031941795
120.75055234453355_15.850072502367343,458.5098333308513
122.15055874852813_17.250078906361935,341.33236633854125
122.85056195052543_14.05006426866001,477.66624115775016
121.65055646138721_16.250074332080082,345.24589855185656
120.9505532593899_16.650076161792825,375.3911271549825
121.55055600395902_13.950063811231825,328.2999773336365
