latitude,longitude,value
8.587500000000006,126.00416666666666,4790.697203043939
8.587500000000006,126.0125,4815.082943188518
8.587500000000006,126.02083333333331,4880.814415317982
8.587500000000006,126.02916666666664,4946.130176653621
8.587500000000006,126.03749999999997,5009.07112310565
8.587500000000006,126.04583333333336,5071.932331247719
8.587500000000006,126.05416666666667,5134.79133319149
8.587500000000006,126.0625,5187.619696981881
8.587500000000006,126.07083333333333,5209.831701459275
8.587500000000006,126.07916666666664,5229.9222886862935
8.587500000000006,126.08749999999998,5244.105307210148
8.587500000000006,126.0958333333333,5223.216076198782
8.587500000000006,126.10416666666669,5186.693408867361
8.587500000000006,126.1125,4697.945474829342
8.587500000000006,126.12083333333334,1813.78527468986
8.587500000000006,126.12916666666666,0.0
8.595833333333331,126.00416666666666,5741.295731797231
8.595833333333331,126.0125,5606.452261401399
8.595833333333331,126.02083333333331,5471.607530320823
8.595833333333331,126.02916666666664,5336.424305386896
8.595833333333331,126.03749999999997,5200.5149260413145
8.595833333333331,126.04583333333336,5089.651255302988
8.595833333333331,126.05416666666667,4993.083434372965
8.595833333333331,126.0625,5141.151487717199
8.595833333333331,126.07083333333333,4865.782640791267
8.595833333333331,126.07916666666664,4790.593511723871
8.595833333333331,126.08749999999998,4790.5928813815
8.595833333333331,126.0958333333333,4787.798258478654
8.595833333333331,126.10416666666669,3382.2453957225257
8.595833333333331,126.1125,313.6549364372658
8.595833333333331,126.12083333333334,0.0
8.604166666666671,126.00416666666666,7353.319444447955
8.604166666666671,126.0125,7353.319444447955
8.604166666666671,126.02083333333331,7353.318814105583
8.604166666666671,126.02916666666664,7353.319444447955
8.604166666666671,126.03749999999997,7353.317553420841
8.604166666666671,126.04583333333336,7353.320074790326
8.604166666666671,126.05416666666667,7361.261127983077
8.604166666666671,126.0625,14592.425893968051
8.604166666666671,126.07083333333333,15369.598956467284
8.604166666666671,126.07916666666664,15174.719787608416
8.604166666666671,126.08749999999998,11842.325333485782
8.604166666666671,126.0958333333333,4750.284692939659
8.604166666666671,126.10416666666669,0.0
8.604166666666671,126.1125,0.0
8.612500000000011,126.00416666666666,7353.158076800919
8.612500000000011,126.0125,7353.15870714329
8.612500000000011,126.02083333333331,7353.158076800919
8.612500000000011,126.02916666666664,7353.15870714329
8.612500000000011,126.03749999999997,7353.157446458548
8.612500000000011,126.04583333333336,7353.15870714329
8.612500000000011,126.05416666666667,8337.240392313935
8.612500000000011,126.0625,15254.768226015623
8.612500000000011,126.07083333333333,15326.315867204425
8.612500000000011,126.07916666666664,13794.945721637285
8.612500000000011,126.08749999999998,775.9821881743846
8.612500000000011,126.0958333333333,0.0
8.612500000000011,126.10416666666669,0.0
8.620833333333337,126.00416666666666,6517.759659128829
8.620833333333337,126.0125,6672.85413888516
8.620833333333337,126.02083333333331,6828.5940892296285
8.620833333333337,126.02916666666664,6971.923228626957
8.620833333333337,126.03749999999997,7078.054604013277
8.620833333333337,126.04583333333336,7163.653206999158
8.620833333333337,126.05416666666667,7359.429353052284
8.620833333333337,126.0625,8246.157180355982
8.620833333333337,126.07083333333333,7398.629084434317
8.620833333333337,126.07916666666664,12455.928332705123
8.620833333333337,126.08749999999998,47882.45549425278
8.620833333333337,126.0958333333333,98395.85919123904
8.620833333333337,126.10416666666669,0.0
8.620833333333337,126.1125,0.0
