value,latitude,longitude,region_id
365.3319798866065,8.054166666666674,116.96249999999998,608
2320.98317234818,8.045833333333334,116.96249999999998,608
3336.471193408565,8.037500000000009,116.96249999999998,608
3517.351403715976,8.029166666666669,116.96249999999998,608
4122.624743670706,8.020833333333343,116.96249999999998,608
4091.7672784007123,8.012500000000003,116.96249999999998,608
4215.804789526554,8.004166666666679,116.96249999999998,608
4213.579680956113,7.995833333333337,116.96249999999998,608
3105.2575144160905,7.987500000000012,116.96249999999998,608
1861.3173442915866,7.979166666666671,116.96249999999998,608
872.5299957341202,7.970833333333331,116.96249999999998,608
907.064563226683,7.962500000000006,116.96249999999998,608
2006.8446451229856,7.954166666666667,116.96249999999998,608
945.2707962388623,7.94583333333334,116.96249999999998,608
1661.8409309337505,7.9375,116.96249999999998,608
1661.874654250611,7.929166666666673,116.96249999999998,608
1661.908219981879,7.920833333333333,116.96249999999998,608
1661.9417857131466,7.912500000000008,116.96249999999998,608
1020.6636046849608,8.054166666666674,116.9708333333333,608
3112.8673226927613,8.045833333333334,116.9708333333333,608
533.2866259079693,8.037500000000009,116.9708333333333,608
945.8009929658631,8.029166666666669,116.9708333333333,608
1605.8706255939637,8.020833333333343,116.9708333333333,608
4215.719693306438,8.012500000000003,116.9708333333333,608
4215.8057350401095,8.004166666666679,116.9708333333333,608
4215.892091944969,7.995833333333337,116.9708333333333,608
4215.977818507457,7.987500000000012,116.9708333333333,608
4216.064490583501,7.979166666666671,116.9708333333333,608
4063.117587285949,7.970833333333331,116.9708333333333,608
3840.7999301786404,7.962500000000006,116.9708333333333,608
2540.2469782524736,7.954166666666667,116.9708333333333,608
1661.8076803736676,7.94583333333334,116.9708333333333,608
1661.8414036905285,7.9375,116.9708333333333,608
1661.8749694217965,7.929166666666673,116.9708333333333,608
1661.9085351530646,7.920833333333333,116.9708333333333,608
1661.9422584699255,7.912500000000008,116.9708333333333,608
1458.5414910944048,7.904166666666669,116.9708333333333,608
1221.6778170502091,7.895833333333344,116.9708333333333,608
895.7016964717103,7.887500000000002,116.9708333333333,608
273.81721978275107,8.029166666666669,116.97916666666669,608
3945.495700814483,8.020833333333343,116.97916666666669,608
4215.719062964066,8.012500000000003,116.97916666666669,608
4215.805419868925,8.004166666666679,116.97916666666669,608
4215.891776773783,7.995833333333337,116.97916666666669,608
4215.9768729939005,7.987500000000012,116.97916666666669,608
4216.063860241129,7.979166666666671,116.97916666666669,608
4216.149586803615,7.970833333333331,116.97916666666669,608
4216.2353133661045,7.962500000000006,116.97916666666669,608
2338.4034717050768,7.954166666666667,116.97916666666669,608
1661.807365202482,7.94583333333334,116.97916666666669,608
1661.8412461049356,7.9375,116.97916666666669,608
1661.8748118362037,7.929166666666673,116.97916666666669,608
1661.9085351530646,7.920833333333333,116.97916666666669,608
1661.9421008843326,7.912500000000008,116.97916666666669,608
1379.8512829116073,7.904166666666669,116.97916666666669,608
1298.359990816658,7.895833333333344,116.97916666666669,608
1298.386543989046,7.887500000000002,116.97916666666669,608
1298.4125456118593,7.879166666666678,116.97916666666669,608
1527.7806609341699,7.870833333333337,116.97916666666669,608
4213.172479784299,8.020833333333343,116.9875,608
4215.719378135252,8.012500000000003,116.9875,608
4215.805419868925,8.004166666666679,116.9875,608
4215.892091944969,7.995833333333337,116.9875,608
4215.977818507457,7.987500000000012,116.9875,608
4216.064490583501,7.979166666666671,116.9875,608
4216.149901974803,7.970833333333331,116.9875,608
4216.235943708475,7.962500000000006,116.9875,608
2137.1115147325054,7.954166666666667,116.9875,608
1661.8076803736676,7.94583333333334,116.9875,608
1661.8414036905285,7.9375,116.9875,608
1661.8749694217965,7.929166666666673,116.9875,608
1661.9086927386572,7.920833333333333,116.9875,608
1653.4684083878915,7.912500000000008,116.9875,608
1309.6350823964367,7.904166666666669,116.9875,608
1298.3602271950474,7.895833333333344,116.9875,608
1298.386701574639,7.887500000000002,116.9875,608
1298.4126244046554,7.879166666666678,116.9875,608
1804.617575242695,7.870833333333337,116.9875,608
2130.595508055511,7.862500000000012,116.9875,608
1935.6104416782791,7.854166666666671,116.9875,608
4122.987190534162,8.020833333333343,116.99583333333334,608
4209.270030164015,8.012500000000003,116.99583333333334,608
4215.805419868925,8.004166666666679,116.99583333333334,608
4215.891776773783,7.995833333333337,116.99583333333334,608
4215.977188165085,7.987500000000012,116.99583333333334,608
4216.0641754123135,7.979166666666671,116.99583333333334,608
4216.149586803615,7.970833333333331,116.99583333333334,608
4216.2353133661045,7.962500000000006,116.99583333333334,608
1935.8195577599345,7.954166666666667,116.99583333333334,608
1661.807365202482,7.94583333333334,116.99583333333334,608
1661.8412461049356,7.9375,116.99583333333334,608
1661.874654250611,7.929166666666673,116.99583333333334,608
1661.9085351530646,7.920833333333333,116.99583333333334,608
1586.0791358220931,7.912500000000008,116.99583333333334,608
1298.3341467794373,7.904166666666669,116.99583333333334,608
