value,region_id,impf_,geometry
2626.4737924076658,616,1,POINT (17.85416667 54.8125)
0.0,616,1,POINT (17.89583333 54.8125)
0.0,616,1,POINT (17.9375 54.8125)
1.6649089013432477e-10,616,1,POINT (17.97916667 54.8125)
3.786896959344375e-06,616,1,POINT (18.02083333 54.8125)
2.2805367389547637,616,1,POINT (18.0625 54.8125)
12399.4070172658,616,1,POINT (18.10416667 54.8125)
67208.42095953095,616,1,POINT (18.14583333 54.8125)
309122.723044255,616,1,POINT (18.1875 54.8125)
1438.892544899843,616,1,POINT (18.22916667 54.8125)
3624.868509531147,616,1,POINT (18.27083333 54.8125)
501463.6044002622,616,1,POINT (18.3125 54.8125)
686692.9218406786,616,1,POINT (18.35416667 54.8125)
27497701.370059077,616,1,POINT (17.5625 54.77083333)
57775.65324996057,616,1,POINT (17.60416667 54.77083333)
7.187562089235084,616,1,POINT (17.64583333 54.77083333)
0.0,616,1,POINT (17.6875 54.77083333)
0.0,616,1,POINT (17.72916667 54.77083333)
0.0,616,1,POINT (17.77083333 54.77083333)
0.0,616,1,POINT (17.8125 54.77083333)
1.7851404409646299,616,1,POINT (17.85416667 54.77083333)
1273.3899769369684,616,1,POINT (17.89583333 54.77083333)
3.1832788515455995e-06,616,1,POINT (17.9375 54.77083333)
1.0253020068230307,616,1,POINT (17.97916667 54.77083333)
41.23689942687033,616,1,POINT (18.02083333 54.77083333)
154.68769974481484,616,1,POINT (18.0625 54.77083333)
10432.245370402756,616,1,POINT (18.10416667 54.77083333)
111638.04270636899,616,1,POINT (18.14583333 54.77083333)
71639.10695989875,616,1,POINT (18.1875 54.77083333)
607.6553702337186,616,1,POINT (18.22916667 54.77083333)
0.3734187696912827,616,1,POINT (18.27083333 54.77083333)
480.8807568290767,616,1,POINT (18.3125 54.77083333)
423564.59361658315,616,1,POINT (18.35416667 54.77083333)
90984196.55642784,616,1,POINT (18.39583333 54.77083333)
0.0,616,1,POINT (17.27083333 54.72916667)
0.0,616,1,POINT (17.3125 54.72916667)
0.0,616,1,POINT (17.35416667 54.72916667)
0.0,616,1,POINT (17.39583333 54.72916667)
0.0,616,1,POINT (17.4375 54.72916667)
55.23761124307739,616,1,POINT (17.47916667 54.72916667)
98448.49936339098,616,1,POINT (17.52083333 54.72916667)
4067948.567731427,616,1,POINT (17.5625 54.72916667)
39695.09069538037,616,1,POINT (17.60416667 54.72916667)
5.317777970341021,616,1,POINT (17.64583333 54.72916667)
0.0,616,1,POINT (17.6875 54.72916667)
0.0,616,1,POINT (17.72916667 54.72916667)
0.0,616,1,POINT (17.77083333 54.72916667)
0.0,616,1,POINT (17.8125 54.72916667)
22.384523791374352,616,1,POINT (17.85416667 54.72916667)
16133.122702034781,616,1,POINT (17.89583333 54.72916667)
0.005403062488861194,616,1,POINT (17.9375 54.72916667)
2463.4167408620847,616,1,POINT (17.97916667 54.72916667)
920489.1017327536,616,1,POINT (18.02083333 54.72916667)
47825.41417678248,616,1,POINT (18.0625 54.72916667)
755613.8194856063,616,1,POINT (18.10416667 54.72916667)
2703.489087958394,616,1,POINT (18.14583333 54.72916667)
16.931885755625917,616,1,POINT (18.1875 54.72916667)
3.0015392287280567,616,1,POINT (18.22916667 54.72916667)
0.1986789261616779,616,1,POINT (18.27083333 54.72916667)
64.50600799000551,616,1,POINT (18.3125 54.72916667)
127961.19725229447,616,1,POINT (18.35416667 54.72916667)
42133589.53063668,616,1,POINT (18.39583333 54.72916667)
0.0,616,1,POINT (17.14583333 54.6875)
0.0,616,1,POINT (17.1875 54.6875)
0.0,616,1,POINT (17.22916667 54.6875)
0.0,616,1,POINT (17.27083333 54.6875)
0.0,616,1,POINT (17.3125 54.6875)
0.0,616,1,POINT (17.35416667 54.6875)
0.0,616,1,POINT (17.39583333 54.6875)
0.0,616,1,POINT (17.4375 54.6875)
0.014832345691976808,616,1,POINT (17.47916667 54.6875)
62.70621815207787,616,1,POINT (17.52083333 54.6875)
366.97225235154247,616,1,POINT (17.5625 54.6875)
34.521148312005934,616,1,POINT (17.60416667 54.6875)
0.0038633215334196664,616,1,POINT (17.64583333 54.6875)
0.0,616,1,POINT (17.6875 54.6875)
0.0,616,1,POINT (17.72916667 54.6875)
0.0,616,1,POINT (17.77083333 54.6875)
0.0,616,1,POINT (17.8125 54.6875)
