value,region_id,impf_,geometry
651.6891424116532,203,1,POINT (14.27083333 51.02083333)
847.5529997580281,203,1,POINT (14.3125 51.02083333)
1013.7928708813365,203,1,POINT (14.35416667 51.02083333)
1050.664621586669,203,1,POINT (14.47916667 51.02083333)
741.9209883344395,203,1,POINT (14.27083333 50.97916667)
1312.2240898911123,203,1,POINT (14.3125 50.97916667)
1250.6172745519145,203,1,POINT (14.35416667 50.97916667)
1294.855241457303,203,1,POINT (14.39583333 50.97916667)
1329.6549524141865,203,1,POINT (14.4375 50.97916667)
961.2468427860633,203,1,POINT (14.47916667 50.97916667)
2681.311926824337,203,1,POINT (14.52083333 50.97916667)
2838.865402740307,203,1,POINT (14.5625 50.97916667)
915.2040255183772,203,1,POINT (14.97916667 50.97916667)
928.3334177474582,203,1,POINT (15.02083333 50.97916667)
495.00703655926236,203,1,POINT (15.0625 50.97916667)
308.94359263540593,203,1,POINT (15.10416667 50.97916667)
378.756338208951,203,1,POINT (15.14583333 50.97916667)
876.97661797795,203,1,POINT (14.35416667 50.9375)
1181.1114025743564,203,1,POINT (14.39583333 50.9375)
777.2453673302673,203,1,POINT (14.4375 50.9375)
1005.7592100182148,203,1,POINT (14.47916667 50.9375)
3273.2851548170634,203,1,POINT (14.52083333 50.9375)
3788.7708781314923,203,1,POINT (14.5625 50.9375)
804.8711057638164,203,1,POINT (15.02083333 50.9375)
1929.0419888150086,203,1,POINT (15.0625 50.9375)
1422.8809731709107,203,1,POINT (15.10416667 50.9375)
581.7708046310768,203,1,POINT (15.14583333 50.9375)
908.2415258467299,203,1,POINT (15.1875 50.9375)
939.6905530658083,203,1,POINT (15.22916667 50.9375)
377.2311040871258,203,1,POINT (14.39583333 50.89583333)
359.4863733556709,203,1,POINT (14.4375 50.89583333)
1167.0295893092152,203,1,POINT (14.47916667 50.89583333)
1875.8821654548244,203,1,POINT (14.52083333 50.89583333)
2600.463629847278,203,1,POINT (14.5625 50.89583333)
3406.791393687697,203,1,POINT (14.60416667 50.89583333)
1001.0993079028574,203,1,POINT (15.02083333 50.89583333)
2315.333038869654,203,1,POINT (15.0625 50.89583333)
1515.935469686939,203,1,POINT (15.10416667 50.89583333)
890.314454463661,203,1,POINT (15.14583333 50.89583333)
989.1361651354574,203,1,POINT (15.1875 50.89583333)
908.8446489195348,203,1,POINT (15.22916667 50.89583333)
1319.7821171114529,203,1,POINT (14.22916667 50.85416667)
691.0302076202296,203,1,POINT (14.27083333 50.85416667)
387.4672265779024,203,1,POINT (14.3125 50.85416667)
208.13620524722637,203,1,POINT (14.35416667 50.85416667)
173.68040808460756,203,1,POINT (14.39583333 50.85416667)
605.479752415825,203,1,POINT (14.4375 50.85416667)
