value,region_id,impf_,geometry
186.95238432600308,40,1,POINT (14.97916667 48.97916667)
327.213626512536,40,1,POINT (15.02083333 48.97916667)
312.3998099269965,40,1,POINT (15.0625 48.97916667)
281.9133838242685,40,1,POINT (15.10416667 48.97916667)
144.5803662291268,40,1,POINT (15.27083333 48.97916667)
208.7402063300369,40,1,POINT (14.97916667 48.9375)
375.07851176952687,40,1,POINT (15.02083333 48.9375)
381.3076524072413,40,1,POINT (15.0625 48.9375)
397.4582420289962,40,1,POINT (15.10416667 48.9375)
297.9776025327046,40,1,POINT (15.1875 48.9375)
354.5496349935157,40,1,POINT (15.22916667 48.9375)
425.65779094997436,40,1,POINT (15.27083333 48.9375)
417.0950210178319,40,1,POINT (15.3125 48.9375)
268.8474937772137,40,1,POINT (15.35416667 48.9375)
198.80549083154816,40,1,POINT (15.39583333 48.9375)
190.28048407495558,40,1,POINT (15.4375 48.9375)
301.89032058137855,40,1,POINT (14.97916667 48.89583333)
496.1452764620895,40,1,POINT (15.02083333 48.89583333)
592.2686804855998,40,1,POINT (15.0625 48.89583333)
705.552134180279,40,1,POINT (15.10416667 48.89583333)
638.0887391895725,40,1,POINT (15.14583333 48.89583333)
589.7981928159659,40,1,POINT (15.1875 48.89583333)
609.8300753549864,40,1,POINT (15.22916667 48.89583333)
498.90794073693485,40,1,POINT (15.27083333 48.89583333)
469.7415629455776,40,1,POINT (15.3125 48.89583333)
435.88985229499895,40,1,POINT (15.35416667 48.89583333)
398.0762133822984,40,1,POINT (15.39583333 48.89583333)
365.2651951203249,40,1,POINT (15.4375 48.89583333)
291.5354746930059,40,1,POINT (15.47916667 48.89583333)
217.26048967730736,40,1,POINT (15.52083333 48.89583333)
148.48064917978948,40,1,POINT (15.5625 48.89583333)
450.3451235545457,40,1,POINT (14.97916667 48.85416667)
744.1339054844765,40,1,POINT (15.02083333 48.85416667)
1323.2848107175596,40,1,POINT (15.0625 48.85416667)
1084.5781629936898,40,1,POINT (15.10416667 48.85416667)
779.5110363558298,40,1,POINT (15.14583333 48.85416667)
502.4020104858948,40,1,POINT (15.1875 48.85416667)
513.0903146129931,40,1,POINT (15.22916667 48.85416667)
632.90870150094,40,1,POINT (15.27083333 48.85416667)
704.4955846318068,40,1,POINT (15.3125 48.85416667)
984.4454520206735,40,1,POINT (15.35416667 48.85416667)
613.5914515131351,40,1,POINT (15.39583333 48.85416667)
