Longitude,Latitude,Rainfall,Start_time,End_time,Return_Period
121.05055371682,17.25007890636,32.05999919399619,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
125.35057338623,7.4500340784,7.469999823719262,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
123.35056423767,13.55006198152,124.89499738439916,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
125.55057430109,8.95004093982,8.544999802485107,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
125.35057338623,11.3500519181,64.08499826304615,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
123.15056332281,8.45003865268,92.43999867513776,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.25055920596,16.55007570436,18.52499939966947,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.85056195053,11.55005283296,96.73999723605812,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.85057109909,8.85004048239,23.794999480247498,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.85056195053,11.05005054581,87.34499771147966,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.45056926938,6.55002996155,19.2399994591251,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
121.05055371682,13.25006060923,117.26999729592352,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
125.2505729288,12.45005694981,126.5749965487048,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.35055966338,16.75007661922,20.199999464675784,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
118.35054136626,9.55004368439,86.49999815970659,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
121.85055737624,17.45007982122,48.57499943114817,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.5505697268,6.25002858926,17.309999550692737,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
121.55055600396,17.25007890636,28.414999164640903,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
120.55055142968,17.7500811935,11.734999792650342,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.0505582911,16.85007707665,18.339999538846318,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
125.65057475851,6.05002767441,4.459999853745103,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.85057109909,6.65003041897,3.244999903254211,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
121.85055737624,16.85007707665,15.454999528825285,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.85057109909,6.15002813183,12.609999573789535,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
120.15054959996,13.8500633538,218.44499505124983,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.05056743966,12.65005786467,151.42999679315835,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
125.55057430109,7.75003545068,9.259999768808484,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
124.95057155652,7.15003270612,10.95999979134649,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
123.65056560995,12.25005603495,121.04499677941205,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.65056103567,14.15006472609,90.11999829579143,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
122.85056195053,9.9500455141,38.64999908674508,2014-07-14 21:00:00,2014-07-16 06:00:00,< 7-year
